,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
0,Harvard University,history,28428,1.08,2011,1st,,"$28,428",,,,history
1,Boston University,graduate division of religious studies,20000,0.76,2011,1st,,,"$20,000",,,graduate division of religious studies
2,Boston University,management,34000,1.29,2012,1st,,,"$27,000","$7,500",$500,management
3,Boston University,economics,23000,0.87,2012,5th,,,"$19,000","$4,000",,economics
4,MIT,materials science and engineering,30413,1.19,2013,3rd,,"$30,413",,,,materials science and engineering
5,Northeastern University,biology,30900,1.17,2013,,,"$30,900",,,,biology
6,Harvard University,epidemiology,22000,0.84,2013,1st,"NIH Training grant (T32),<br>funding also includes tuition and health insurance.<br>Can earn additional <span class=""truncated""> money as a TA,<br>or working on (non-training grant-related)<br>research or consulting projects.<br></span>","$22,000",,,,epidemiology
7,MIT,math,33000,1.29,2013,6th and up,,"$33,000",,,,math
8,Boston University,management,30100,1.14,2013,2nd,,,"$27,000","$3,600",$500,management
9,Northeastern University,applied psychology,16000,0.61,2014,1st,,,"$16,000",,,applied psychology
10,Boston University,biology,30795,1.17,2014,1st,,"$30,795",,,,biology
11,Boston University,anthropology,20000,0.76,2014,,,,"$20,000",,,anthropology
12,Boston University,religious studies,21000,0.8,2014,3rd,,,"$21,000",,,religious studies
13,Tufts University,human development,18475,0.72,2014,4th,,,"$18,500",,$25,human development
14,Boston University,biochemistry,32500,1.23,2014,4th,,"$32,500",,,,biochemistry
15,Tufts University,biology,29450,1.15,2014,5th,,"$29,500",,,$50,biology
16,Boston University,chemistry,27000,1.03,2014,4th,,"$27,000",,,,chemistry
17,Boston University,physics,30550,1.16,2014,2nd,Health Insurance Covered,"$30,750",,,$200,physics
18,MIT,physics,33800,1.32,2014,5th,,"$34,000",,,$200,physics
19,MIT,microbiology,33712,1.32,2014,,,"$34,000",,,$288,microbiology
20,MIT,electrical engineering and computer science,32952,1.29,2014,6th and up,,"$33,252",,,$300,electrical engineering and computer science
