Article,Topic,Date,Party,Changes from Previous Version,,,
Labor Management Committee,Committee Structure & Representation,2/16/2024,Union,"Initial proposal: Joint LMC with representatives from both sides, no cap on number of representatives",,,
Labor Management Committee,Committee Structure & Representation,3/15/2024,University,Changed: Capped representation at up to 4 per side (was: no cap),,,
Labor Management Committee,Committee Structure & Representation,5/31/2024,Union,"Changed: Removed cap, reverted to open representation (was: 4 per side limit)",,,
Labor Management Committee,Committee Structure & Representation,6/18/2024,University,Changed: Re-established cap at up to 4 per side (was: no cap),,,
Labor Management Committee,Committee Structure & Representation,7/16/2024,Union,No change: Accepted 4 per side cap,,,
Labor Management Committee,Committee Structure & Representation,10/11/2024,Tentative Agreement,Final: Settled at up to 4 representatives per side with flexibility for additional participants,,,
Labor Management Committee,Meeting Frequency,2/16/2024,Union,Initial proposal: Meet each academic term at least biweekly,,,
Labor Management Committee,Meeting Frequency,3/15/2024,University,"Changed: Reduced to once per academic term, removed biweekly requirement (was: at least biweekly)",,,
Labor Management Committee,Meeting Frequency,5/31/2024,Union,"Changed: Changed to at least monthly per term, added flexibility clause for more/less frequent meetings (was: once per term)",,,
Labor Management Committee,Meeting Frequency,6/18/2024,University,Changed: Changed back to once per term but added flexibility clause for more/less frequent meetings by mutual agreement (was: monthly),,,
Labor Management Committee,Meeting Frequency,7/16/2024,Union,Changed: Changed to once each month with flexibility for more/less frequent meetings and additional participants (was: once per term),,,
Labor Management Committee,Meeting Frequency,8/2/2024,University,Changed: Changed to quarterly meetings with flexibility clause retained (was: monthly),,,
Labor Management Committee,Meeting Frequency,9/19/2024,University,"Changed: Monthly for first year, then quarterly thereafter, with flexibility clause (was: quarterly from start)",,,
Labor Management Committee,Meeting Frequency,8/26/2024,Union,Changed: Changed back to monthly meetings with flexibility clause (was: quarterly),,,
Labor Management Committee,Meeting Frequency,10/11/2024,Tentative Agreement,"Final: Compromise reached - monthly for first year of Agreement, then quarterly thereafter, with flexibility clause (was: monthly vs quarterly dispute)",,,
Labor Management Committee,Union Representative Compensation,2/16/2024,Union,Initial proposal: Union reps paid standard PhD-level SGA rate for 1 academic term,,,
Labor Management Committee,Union Representative Compensation,3/15/2024,University,Changed: Removed all payment language for union representatives (was: paid PhD-level SGA rate),,,
Labor Management Committee,Union Representative Compensation,5/31/2024,Union,"Changed: Restored payment at PhD-level SGA rate, added that LMC work counts as part of workload (was: no payment)",,,
Labor Management Committee,Union Representative Compensation,6/18/2024,University,No change: Continued with no payment language,,,
Labor Management Committee,Union Representative Compensation,10/11/2024,Tentative Agreement,Final: No payment language included in final agreement (union proposal for PhD-level SGA payment not accepted),,,
Labor Management Committee,LMC Purpose & Scope,2/16/2024,Union,Initial proposal: Discuss matters of concern including agreement administration and all issues affecting union/members not subject to active grievance or formal negotiations,,,
Labor Management Committee,LMC Purpose & Scope,3/15/2024,University,"Changed: Added restrictions - LMC shall NOT discuss active grievances, not for bargaining, not reopening agreement; requires agenda items 7 days prior (was: broader discussion scope)",,,
Labor Management Committee,LMC Purpose & Scope,5/31/2024,Union,"Changed: Reverted to broader scope - can discuss all issues not subject to active grievance or formal negotiations, removed agenda requirement (was: restricted scope with agenda requirement)",,,
Labor Management Committee,LMC Purpose & Scope,6/18/2024,University,"Changed: Re-established restrictions - cannot discuss active grievances, not for bargaining/reopening, 7-day agenda requirement (was: broader scope)",,,
Labor Management Committee,LMC Purpose & Scope,7/16/2024,Union,Changed: Accepted restrictions but softened language to 'formal reopening' and maintained 7-day agenda (was: 'reopening'),,,
Labor Management Committee,LMC Purpose & Scope,8/2/2024,University,"Changed: Removed 7-day agenda requirement, changed 'formal reopening' to 'reopen' (was: 7-day agenda required, 'formal reopening')",,,
Labor Management Committee,LMC Purpose & Scope,9/19/2024,University,No change: Maintained restrictions - cannot discuss active grievances,not for bargaining or reopening,,
Labor Management Committee,LMC Purpose & Scope,8/26/2024,Union,"Changed: Removed 'bargaining' from restrictions, kept cannot discuss grievances or reopen agreement (was: not for bargaining or reopening)",,,
Labor Management Committee,LMC Purpose & Scope,10/11/2024,Tentative Agreement,Final: Cannot discuss active grievances,not for bargaining or reopening agreement; no agenda requirement (compromise between union's broader scope and university's restrictions),,
Severability,Severability Scope,1/25/2024,Union,"Initial proposal: If provision found contrary to law, it has no effect; remainder continues in full force",,,
Severability,Severability Scope,3/15/2024,University,Changed: Added qualification 'to the extent consistent with such court ruling' for both severed provision and remainder (was: absolute continuation),,,
Severability,Severability Scope,5/31/2024,Union,"Changed: Accepted 'to extent consistent with court ruling' for severed provision, but remainder continues 'in full force and effect' without qualification (was: both qualified)",,,
Severability,Severability Scope,6/18/2024,University,Changed: Re-added qualification - remainder continues 'to the extent consistent with such court ruling' (was: in full force without qualification),,,
Severability,Severability Scope,8/26/2024,Union,No change: Maintained severed provision qualified by court ruling; remainder continues in full force and effect,,,
Severability,Severability Scope,9/19/2024,Tentative Agreement,Final: Severed provision has no effect to extent consistent with court ruling; remainder continues in full force and effect (Union's position prevailed),,,
Severability,Renegotiation Obligation,1/25/2024,Union,Initial proposal: Parties shall bargain in good faith to replace invalid provision; new language incorporated into agreement,,,
