Article,Topic,Summary
"Labor Management Committee","Committee Structure & Representation","Tentative Agreement: Up to 4 representatives per side with flexibility for additional participants by mutual agreement."
"Labor Management Committee","Meeting Frequency","Tentative Agreement: Monthly meetings for first year of Agreement, then quarterly thereafter, with flexibility for more or less frequent meetings by mutual agreement."
"Labor Management Committee","Union Representative Compensation","Tentative Agreement: No payment language included in final agreement (union proposal for PhD-level SGA payment not accepted)."
"Labor Management Committee","LMC Purpose & Scope","Tentative Agreement: Committee discusses matters of concern to either party but cannot discuss active grievances, bargain, or reopen agreement."
"Severability","Severability Scope","Tentative Agreement: If provision found contrary to law, it has no effect to extent consistent with court ruling; remainder continues in full force and effect."
"Severability","Renegotiation Obligation","Tentative Agreement: Parties agree to discuss and renegotiate affected provisions within 30 days following written request; renegotiation may be delayed/paused by mutual agreement."
"Accessibility","Non-Retaliation Protection","Union (08-26-24, Rejected): University shall not retaliate against GSW for non-completion of work due to lack of access to spaces and systems where work needs are met."
"Accessibility","Documentation Requirements","Union (08-26-24, Rejected): Formal medical documentation not required for flexible timelines/locations for specific conditions."
"Accessibility","Request Response Timeline","Union (08-26-24, Rejected): Access requests receive decision within 2 business days if approved immediately, 5 business days if not; if cannot meet request, explanation and alternative provided."
"Accessibility","Proactive Access - Physical Spaces","Union (08-26-24, Rejected): By start of contract, implement centralized processes for changing offices and classrooms to meet GSWs' physical, sensory and/or other health needs."
"Accessibility","Proactive Access - Communication Support","Union (08-26-24, Rejected): Provide and bear cost for ASL interpreters and CART services at any event upon request or where reasonable to expect D/deaf or Hard-of-Hearing person might attend."
"Accessibility","Proactive Access - Technology","Union (08-26-24, Rejected): Provide and bear cost for universal, modern text-to-speech and speech-to-text software usable on any device, including updates and new releases."
"Accessibility","Accessibility Audit","Union (08-26-24, Rejected): Complete annual accessibility audit on all campuses within one calendar year; committee with Union and University representatives reviews and makes recommendations."
